"index 	 lat 	 long 	 speed 	 date 	 time 	 air_val 	 dust 	 gsr"
"0	51.522943	-0.131100	0.00	10524	10202200	29	0.62	322"
"1	51.522935	-0.131093	0.22	10524	10202300	23	0.62	330"
"2	51.522928	-0.131082	0.22	10524	10202400	23	0.62	319"
"3	51.522922	-0.131080	0.59	10524	10202421	23	0.62	310"
"4	51.522897	-0.131073	1.39	10524	10202600	23	0.62	307"
"5	51.522890	-0.131088	1.80	10524	10202700	22	0.62	306"
"6	51.522885	-0.131102	2.20	10524	10202800	22	0.62	304"
"7	51.522878	-0.131110	1.83	10524	10202900	22	0.62	296"
"8	51.522867	-0.131110	1.61	10524	10203020	22	0.62	287"
"9	51.522853	-0.131120	1.61	10524	10203200	21	0.62	287"
"10	51.522850	-0.131132	1.90	10524	10203300	21	0.62	288"
"11	51.522847	-0.131142	1.99	10524	10203400	21	0.62	290"
"12	51.522842	-0.131147	1.83	10524	10203500	21	0.62	291"
"13	51.522833	-0.131155	2.08	10524	10203620	21	0.62	293"
"14	51.522833	-0.131155	2.04	10524	10203620	22	0.62	294"
"15	51.522817	-0.131172	2.50	10524	10203800	22	0.62	295"
"16	51.522800	-0.131172	2.69	10524	10203900	21	0.62	297"
"17	51.522788	-0.131177	2.74	10524	10204000	21	0.62	297"
"18	51.522775	-0.131182	2.75	10524	10204100	21	0.62	294"
"19	51.522762	-0.131178	2.30	10524	10204221	21	0.62	292"
"20	51.522748	-0.131187	2.30	10524	10204400	21	0.62	293"
"21	51.522740	-0.131188	2.20	10524	10204500	21	0.62	296"
"22	51.522728	-0.131185	2.20	10524	10204600	21	0.62	294"
"23	51.522710	-0.131178	1.97	10524	10204700	22	0.62	292"
"24	51.522692	-0.131168	2.07	10524	10204822	21	0.62	293"
"25	51.522692	-0.131168	2.13	10524	10204822	18	0.62	294"
"26	51.522670	-0.131160	2.13	10524	10205000	21	0.62	293"
"27	51.522642	-0.131123	2.59	10524	10205100	22	0.62	292"
"28	51.522628	-0.131105	2.61	10524	10205200	21	0.62	294"
"29	51.522620	-0.131092	2.62	10524	10205300	21	0.62	295"
"30	51.522623	-0.131067	2.52	10524	10205420	21	0.62	296"
"31	51.522610	-0.131048	2.52	10524	10205600	21	0.62	297"
"32	51.522602	-0.131033	2.29	10524	10205700	22	0.62	298"
"33	51.522595	-0.131007	2.26	10524	10205800	21	0.62	298"
"34	51.522578	-0.130980	2.82	10524	10205900	21	0.62	291"
"35	51.522560	-0.130948	2.83	10524	10210020	21	0.62	286"
"36	51.522560	-0.130948	3.08	10524	10210020	21	0.62	287"
"37	51.522545	-0.130922	3.06	10524	10210200	21	0.62	289"
"38	51.522528	-0.130892	3.26	10524	10210300	21	0.62	286"
"39	51.522518	-0.130873	3.27	10524	10210400	22	0.62	285"
"40	51.522510	-0.130858	3.26	10524	10210500	21	0.62	285"
"41	51.522502	-0.130840	3.23	10524	10210621	21	0.62	286"
"42	51.522488	-0.130812	3.23	10524	10210800	21	0.62	286"
"43	51.522487	-0.130803	3.23	10524	10210900	21	0.62	287"
"44	51.522482	-0.130790	3.23	10524	10211000	21	0.62	288"
"45	51.522477	-0.130775	3.12	10524	10211100	21	0.62	285"
"46	51.522477	-0.130758	3.07	10524	10211221	21	0.62	283"
"47	51.522477	-0.130758	3.05	10524	10211221	21	0.62	284"
"48	51.522473	-0.130737	2.85	10524	10211400	21	0.62	284"
"49	51.522480	-0.130730	2.66	10524	10211500	21	0.62	284"
"50	51.522478	-0.130712	2.72	10524	10211600	21	0.62	285"
"51	51.522480	-0.130698	2.72	10524	10211700	21	0.62	283"
"52	51.522493	-0.130692	2.59	10524	10211821	21	0.62	284"
"53	51.522500	-0.130652	2.59	10524	10212100	21	0.62	285"
"54	51.522508	-0.130618	2.77	10524	10212200	21	0.62	283"
"55	51.522512	-0.130587	2.77	10524	10212300	21	0.62	282"
"56	51.522517	-0.130550	0.96	10524	10212400	21	0.62	279"
"57	51.522522	-0.130532	0.92	10524	10212421	21	0.62	271"
"58	51.522518	-0.130510	2.23	10524	10212600	21	0.62	268"
"59	51.522517	-0.130517	1.83	10524	10212700	21	0.62	267"
"60	51.522517	-0.130530	1.88	10524	10212800	20	0.62	268"
"61	51.522512	-0.130522	1.90	10524	10212900	20	0.62	269"
"62	51.522503	-0.130495	1.96	10524	10213021	21	0.62	265"
"63	51.522487	-0.130495	1.96	10524	10213200	20	0.62	266"
"64	51.522478	-0.130490	1.88	10524	10213300	21	0.62	263"
"65	51.522463	-0.130488	1.88	10524	10213400	20	0.62	260"
"66	51.522455	-0.130487	1.54	10524	10213500	20	0.62	261"
"67	51.522440	-0.130485	1.60	10524	10213621	20	0.62	261"
"68	51.522440	-0.130485	1.63	10524	10213621	20	0.62	260"
"69	51.522427	-0.130480	1.66	10524	10213800	20	0.62	254"
"70	51.522415	-0.130475	1.71	10524	10213900	20	0.62	253"
"71	51.522405	-0.130470	1.90	10524	10214000	20	0.62	257"
"72	51.522393	-0.130458	1.93	10524	10214100	20	0.62	258"
"73	51.522378	-0.130442	1.98	10524	10214221	19	0.62	258"
"74	51.522363	-0.130420	1.98	10524	10214400	19	0.62	258"
"75	51.522358	-0.130410	2.00	10524	10214500	20	0.62	255"
"76	51.522352	-0.130393	2.00	10524	10214600	20	0.62	256"
"77	51.522348	-0.130373	2.07	10524	10214700	20	0.62	258"
"78	51.522347	-0.130360	2.09	10524	10214821	20	0.62	259"
"79	51.522345	-0.130348	2.09	10524	10215000	20	0.62	260"
"80	51.522340	-0.130342	2.09	10524	10215100	20	0.62	262"
"81	51.522322	-0.130353	2.09	10524	10215200	20	0.62	263"
"82	51.522312	-0.130345	1.85	10524	10215300	20	0.62	264"
"83	51.522267	-0.130357	1.86	10524	10215421	20	0.62	265"
"84	51.522262	-0.130347	1.86	10524	10215600	20	0.62	267"
"85	51.522253	-0.130342	1.86	10524	10215700	20	0.62	268"
"86	51.522245	-0.130328	1.86	10524	10215800	20	0.62	267"
"87	51.522238	-0.130313	2.13	10524	10215900	21	0.62	267"
"88	51.522227	-0.130295	2.15	10524	10220020	20	0.62	268"
"89	51.522227	-0.130295	2.23	10524	10220020	20	0.62	267"
"90	51.522217	-0.130275	2.26	10524	10220200	20	0.62	266"
"91	51.522210	-0.130262	2.29	10524	10220300	20	0.62	266"
"92	51.522203	-0.130250	2.31	10524	10220400	20	0.62	265"
"93	51.522220	-0.130260	1.96	10524	10220500	21	0.62	265"
"94	51.522228	-0.130260	1.86	10524	10220620	20	0.62	266"
"95	51.522225	-0.130247	1.86	10524	10220800	21	0.62	266"
"96	51.522223	-0.130242	1.62	10524	10220900	20	0.62	266"
"97	51.522220	-0.130233	1.62	10524	10221000	20	0.62	266"
"98	51.522217	-0.130225	1.66	10524	10221100	21	0.62	267"
"99	51.522218	-0.130215	1.67	10524	10221221	21	0.62	268"
"100	51.522218	-0.130215	1.67	10524	10221221	21	0.62	267"
"101	51.522208	-0.130187	2.13	10524	10221400	20	0.62	264"
"102	51.522200	-0.130165	2.39	10524	10221500	20	0.62	264"
"103	51.522197	-0.130150	2.39	10524	10221600	19	0.62	265"
"104	51.522195	-0.130142	2.16	10524	10221700	20	0.62	268"
"105	51.522198	-0.130118	0.85	10524	10221820	20	0.62	269"
"106	51.522190	-0.130045	0.85	10524	10222100	21	0.62	270"
"107	51.522183	-0.130017	0.85	10524	10222200	22	0.62	269"
"108	51.522178	-0.130012	0.84	10524	10222300	21	0.62	270"
"109	51.522178	-0.130012	2.06	10524	10222400	20	0.62	271"
"110	51.522180	-0.130010	2.03	10524	10222420	21	0.62	272"
"111	51.522173	-0.129988	1.99	10524	10222600	21	0.62	274"
"112	51.522170	-0.129978	1.94	10524	10222700	21	0.62	275"
"113	51.522167	-0.129967	1.92	10524	10222800	21	0.62	276"
"114	51.522163	-0.129957	1.94	10524	10222900	21	0.62	277"
"115	51.522163	-0.129953	2.15	10524	10223020	21	0.62	277"
"116	51.522152	-0.129925	2.15	10524	10223200	21	0.62	277"
"117	51.522143	-0.129905	2.53	10524	10223300	21	0.62	277"
"118	51.522152	-0.129878	2.53	10524	10223400	21	0.62	277"
"119	51.522148	-0.129865	2.45	10524	10223500	21	0.62	277"
"120	51.522140	-0.129852	2.38	10524	10223620	21	0.62	272"
"121	51.522138	-0.129833	2.38	10524	10223800	20	0.62	270"
"122	51.522138	-0.129823	2.30	10524	10223900	21	0.62	273"
"123	51.522137	-0.129813	2.24	10524	10224000	21	0.62	274"
"124	51.522137	-0.129805	2.15	10524	10224100	21	0.62	274"
"125	51.522127	-0.129793	2.11	10524	10224221	21	0.62	275"
"126	51.522127	-0.129793	2.08	10524	10224221	21	0.62	273"
"127	51.522115	-0.129772	2.37	10524	10224400	21	0.62	270"
"128	51.522110	-0.129753	2.58	10524	10224500	21	0.62	270"
"129	51.522108	-0.129737	2.59	10524	10224600	21	0.62	271"
"130	51.522113	-0.129698	0.94	10524	10224700	21	0.62	272"
"131	51.522117	-0.129695	2.35	10524	10224821	21	0.62	273"
"132	51.522108	-0.129660	2.35	10524	10225100	21	0.62	268"
"133	51.522107	-0.129648	2.35	10524	10225200	21	0.62	269"
"134	51.522103	-0.129632	2.35	10524	10225300	21	0.62	270"
"135	51.522098	-0.129620	2.57	10524	10225400	21	0.62	270"
"136	51.522100	-0.129613	2.58	10524	10225421	21	0.62	270"
"137	51.522087	-0.129590	2.60	10524	10225600	21	0.62	271"
"138	51.522080	-0.129578	2.61	10524	10225700	21	0.62	272"
"139	51.522073	-0.129565	2.61	10524	10225800	21	0.62	273"
"140	51.522067	-0.129547	2.62	10524	10225900	21	0.62	273"
"141	51.522067	-0.129517	2.68	10524	10230022	21	0.62	272"
"142	51.522047	-0.129483	2.68	10524	10230200	21	0.62	272"
"143	51.522038	-0.129465	2.72	10524	10230300	21	0.62	273"
"144	51.522037	-0.129450	2.72	10524	10230400	21	0.62	275"
"145	51.522028	-0.129438	2.74	10524	10230500	21	0.62	276"
"146	51.522028	-0.129430	2.70	10524	10230620	21	0.62	277"
"147	51.522028	-0.129430	2.51	10524	10230620	21	0.62	277"
"148	51.522022	-0.129410	2.52	10524	10230800	22	0.62	278"
"149	51.522040	-0.129427	2.06	10524	10230900	21	0.62	279"
"150	51.522053	-0.129423	2.06	10524	10231000	21	0.62	281"
"151	51.522052	-0.129397	2.57	10524	10231100	22	0.62	280"
"152	51.522067	-0.129388	2.47	10524	10231220	21	0.62	280"
"153	51.522048	-0.129357	2.47	10524	10231500	21	0.62	282"
"154	51.522047	-0.129347	2.45	10524	10231600	21	0.62	283"
"155	51.522040	-0.129347	2.45	10524	10231700	22	0.62	284"
"156	51.522035	-0.129345	2.16	10524	10231800	22	0.62	285"
"157	51.522037	-0.129352	2.11	10524	10231821	22	0.62	287"
"158	51.522025	-0.129332	2.11	10524	10232000	22	0.62	287"
"159	51.522020	-0.129340	1.60	10524	10232100	21	0.62	287"
"160	51.522012	-0.129333	1.61	10524	10232200	22	0.62	287"
"161	51.522003	-0.129328	1.68	10524	10232300	21	0.62	288"
"162	51.521992	-0.129325	1.92	10524	10232421	21	0.62	290"
"163	51.521980	-0.129305	1.92	10524	10232600	21	0.62	290"
"164	51.521957	-0.129305	2.14	10524	10232700	21	0.62	291"
"165	51.521925	-0.129308	2.19	10524	10232800	20	0.62	291"
"166	51.521860	-0.129317	2.62	10524	10232900	22	0.62	291"
"167	51.521733	-0.129345	3.08	10524	10233021	22	0.62	291"
"168	51.521733	-0.129345	3.15	10524	10233021	22	0.62	292"
"169	51.521650	-0.129358	3.73	10524	10233200	21	0.62	292"
"170	51.521552	-0.129392	4.03	10524	10233300	22	0.62	293"
"171	51.521440	-0.129408	4.29	10524	10233400	22	0.62	292"
"172	51.521357	-0.129420	4.20	10524	10233500	22	0.62	293"
"173	51.521208	-0.129462	3.37	10524	10233621	22	0.62	293"
"174	51.521187	-0.129452	3.37	10524	10233800	22	0.62	294"
